Q,A,label
우유 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
초콜릿,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
초콜릿 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
사과,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
사과 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
양배추,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
양배추 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
계란,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
계란 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
닭갈비,맛있는걸 드셨군요!,
닭갈비 먹었어,맛있는걸 드셨군요!,
너무 힘들었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘들었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 지쳤어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
지쳤어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘들어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
피곤해,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
피곤했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
바빴어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
졸렸어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
우울했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 우울했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
슬펐어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
기분이 계속 안좋았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
안좋았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
최악이었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
다 포기하고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
퇴근하고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
다 떄려치고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
잘한게 없었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
실수만 했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
아무것도 안한거 같아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
이룬게 없어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
의미 없어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
의미 없는 하루 였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
절망적이었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
슬픈 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘든 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
오늘 하루 너무 힘들었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
오늘 하루 너무 우울했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
우울한 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
오늘 하루 너무 슬펐어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 배고팠어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
배고픈 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
실수투성이 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
정신없이 지나갔어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 바쁘게 지나갔어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘겨운 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘겨웠어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
스트레스 받았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
스트레스 받는 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
부담이 너무 컸어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 긴장했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
하루종일 긴장했어 ,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
하루종일 바빴어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
하루종일 힘들었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
한숨도 못잤어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
한시도 쉬지 못했어 ,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
조금도 쉬지 못했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
계속 뛰어 다녔어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
팀플떄문에 죽는줄 알았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽을뻔 했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽는줄 알았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
배고파 죽는줄 알았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
화났어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
화가 가라앉질 않았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
하루종일 화나는 일만 많았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
화나는 일이 많았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
짜증나는 일이 많았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
짜증났어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
완전 짜증났어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
완전 화났어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
친구랑 싸워서 하루종일 기분이 별로였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
별로였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
별로였던거같아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
그닥 안좋았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
안좋았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 안좋았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
운이 안좋은날 같았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 별로였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
최악,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
완전 최악,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 싫었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
끔찍했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽고싶은 마음 뿐이었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
집에 가고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
집이 그리웠어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
눕고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
쉬고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
눈감고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
도망가고 싶었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
부담이 엄청 났어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
도망칠까 생각했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
끔찍한 하루였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
악몽이었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
악몽,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
악몽 그 자체였어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
다시는 겪고 싶지 않아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
생각하고 싶지 않아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
말하고 싶지 않아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
떠올리고 싶지않아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
다시 생각하기 싫어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
다시 생각하고 싶지 않아,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽을거 같았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
하루 내내 힘들었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘든일만 가득했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
좋은 일이 없었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
너무 바빠서 연락도 못했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
넘 바빴어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
넘 바빠서 밥도 못먹었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
야근했어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
야근 하고 이제 집가는중이야,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
바빴다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
바빴어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
존나 바빠,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
존나 피곤,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
존나 피곤하다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
피곤하다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
피곤해요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
존나 힘들다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
개힘들다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
개바빴다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
개 피곤,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
좀만 쉬고 싶어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽을거 같았어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
끔찍했어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
힘들었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
별로였어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
안좋았어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
죽고 싶었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
도망치고 싶었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
때려치고 싶었다,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
때려치고 싶었었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
마음에 안들었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
완벽한 날은 아니었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
좋진 않았어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
좋진 않았어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
그닥,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
그닥이었어,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
그닥이었어요,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
쌉 피곤,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
존나 지침,"좋지 않은 하루를 보내셨군요, 당신을 위로할 수 있는 칵테일로 준비해보겠습니다.",
행복했어요,좋은 하루를 보내셨군요! 다행입니다.,
꿈만 같았어요,좋은 하루를 보내셨군요! 다행입니다.,
꿈 같았어요,좋은 하루를 보내셨군요! 다행입니다.,
꿈만 같았어요,좋은 하루를 보내셨군요! 다행입니다.,
행복,좋은 하루를 보내셨군요! 다행입니다.,
행복했어,좋은 하루를 보내셨군요! 다행입니다.,
기뻤어,좋은 하루를 보내셨군요! 다행입니다.,
기뻤어요,좋은 하루를 보내셨군요! 다행입니다.,
기쁨,좋은 하루를 보내셨군요! 다행입니다.,
최고,좋은 하루를 보내셨군요! 다행입니다.,
최고였어,좋은 하루를 보내셨군요! 다행입니다.,
최고였어요,좋은 하루를 보내셨군요! 다행입니다.,
너무 좋았어요,좋은 하루를 보내셨군요! 다행입니다.,
너무 좋았어,좋은 하루를 보내셨군요! 다행입니다.,
너무 행복했어,좋은 하루를 보내셨군요! 다행입니다.,
너무 행복했어요,좋은 하루를 보내셨군요! 다행입니다.,
완벽했어,다행입니다.,
완벽,다행입니다.,
완벽했어요,다행입니다.,
넘 좋았어,다행입니다.,
넘 좋았어요,다행입니다.,
넘 좋아,다행입니다.,
아주 좋았어,다행입니다.,
아주 좋았어요,다행입니다.,
너어무 좋았어,다행입니다.,
너어무 좋았어요,다행입니다.,
환상적이었어,다행입니다.,
환상적이었어요,다행입니다.,
날아다니는 기분,좋은 하루를 보내셨군요! 다행입니다.,
날아다니는 기분이었어요,좋은 하루를 보내셨군요! 다행입니다.,
기분 좋은 하루였어,좋은 하루를 보내셨군요! 다행입니다.,
기분 좋은 하루였어요,좋은 하루를 보내셨군요! 다행입니다.,
기분이 너무 좋았어요,좋은 하루를 보내셨군요! 다행입니다.,
기분이 째졌어,좋은 하루를 보내셨군요! 다행입니다.,
좋은 하루였어,좋은 하루를 보내셨군요! 다행입니다.,
좋은 하루였어요,좋은 하루를 보내셨군요! 다행입니다.,
행복한 하루였어,좋은 하루를 보내셨군요! 다행입니다.,
행복한 하루였어요,좋은 하루를 보내셨군요! 다행입니다.,
너무 좋은 하루,좋은 하루를 보내셨군요! 다행입니다.,
오늘 너무 좋았어,다행입니다.,
오늘 너무 좋았어요,다행입니다.,
오늘 너무 행복했어,좋은 하루를 보내셨군요! 다행입니다.,
오늘 너무 행복했어요,좋은 하루를 보내셨군요! 다행입니다.,
오늘 좋았어,다행입니다.,
오늘 좋았어요,다행입니다.,
나쁘지 않았어요,다행입니다.,
괜찮았어요,다행입니다.,
나쁘지 않았어,다행입니다.,
괜찮았어,다행입니다.,
꽤 좋았어,다행입니다.,
꽤 좋았어요,다행입니다.,
꽤 괜찮았어,다행입니다.,
나쁘지 않은 하루,좋은 하루를 보내셨군요! 다행입니다.,
꽤 괜찮았어요,다행입니다.,
앵간 했다,다행입니다.,
좋았다,다행입니다.,
기뻤다,좋은 하루를 보내셨군요! 다행입니다.,
행복했다,좋은 하루를 보내셨군요! 다행입니다.,
너무 행복했다,좋은 하루를 보내셨군요! 다행입니다.,
너무 좋았다,좋은 하루를 보내셨군요! 다행입니다.,
앵간했어,다행입니다.,
앵간했어요,다행입니다.,
나름 좋았다,다행입니다.,
나름 좋았어,다행입니다.,
나름 좋았어요,다행입니다.,
나름 괜찮았어요,다행입니다.,
생각보다 좋았어요,다행입니다.,
생각보다 좋았어,다행입니다.,
생각보다 괜찮았어요,다행입니다.,
생각보다 좋았어,다행입니다.,
그냥 그랬어,그렇군요,
그냥 그랬어요,그렇군요,
보통,그렇군요,
그저 그랬어요,그렇군요,
그저 그랬어,그렇군요,
그냥저냥,그렇군요,
보통이었어,그렇군요,
평소랑 똑같았어,그렇군요,
평소 같았어,그렇군요,
어제랑 똑같았어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
별다른일 없었어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
별일 없었어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
그냥 그랬는데,그렇군요,
아무일도 없었어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
아무것도 안했어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
좋지도 나쁘지도 않았어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
쏘쏘,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
똑같았어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
똑같았어요,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
낫밷,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
