이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
클로버 클럽,"상쾌한맛, 감칠맛",중간 맛,17,#ab2b22,gin,"드라이 진, 레몬 주스, 그레나덴 시럽, 계란 흰자",,레몬의 상쾌한 맛과 계란 흰자의 감칠맛이 맛의 비밀.,1,,
골든 스크루,상큼한맛,중간 맛,10,#ad8300,gin,"드라이 진, 오렌지 주스, 앙고스트라 비터",,상큼한 맛은 오렌지 주스와 같다.,1,,
골든 돈,,중간 맛,27,#893a05,gin,"드라이 진, 칼바도스, 아프리콧 브랜디, 오렌지 주스",,금색의 새벽이라는 이름 그대로의 아름다운 색.,1,,
골든 슬리퍼,,중간 맛,13,#a98718,gin,"드라이 진, 아드보카트, 오렌지 주스, 설탕 가루, 계란 흰자",,오렌지 주스와 아드보카트의 조화가 아름다운 칵테일.,1,,
골든 피즈,상큼한맛,중간 맛,12,#daab00,gin,"드라이 진, 레몬 주스, 설탕 시럽, 계란 노른자, 소다수",,피로 회복에 효과가 있는 진한 롱 드링크.,1,,
콩카 도라,쓴맛 ,쓴맛,37,#79604b,gin,"드라이 진, 체리 브랜디, 트리플 섹, 마라스키노",,체리 브랜디의 향이 난다.,0,,
자자,"감칠맛, 푸근한맛",중간 맛,27,#a31e0e,gin,"드라이 진, 듀보네, 앙고스트라 비터",,감칠맛과 깊이가 있는 향에 푸근한 맛이 살아 있다.,0,,
사사미유키,"신맛, 부드러운맛",중간 맛,13,#7e462e,gin,"드라이 진, 그레이프 주스, 플레시 밀크",,"보라색의 빙산에, 우윳빛이 녹아 들어가 그윽한 세계를 연출.",0,,
사파이언 쿨,상쾌한맛,중간 맛,39,#0077c4,gin,"봄베이 사파이어 진, 쿠앵트로, 플레시 그레이프 프루트 주스, 블루 큐라소",,봄베이 진과 감귤계 리큐르의 상쾌한 향의 조화.,1,,
섬머 브리즈,신맛,중간 맛,32,#ce9200,gin,"탕카레 드라이 진, 그랑 마니에 골든 루주, 크림 드 프랑부아즈, 찰튼 포리스, 레몬 주스",,상큼한 감귤계의 풍미는 마치 여름의 산들바람과 같다.,1,,
제임스 본드 마티니,쓴맛 ,쓴맛,36,#d8d6c7,gin,"드라이 진, 보드카, 릴레 블랑",,워커를 플러스한 본드 취향의 마티니.,0,,
주얼 하우스,,중간 맛,32,#e4be00,gin,"비피터 진, 베네딕틴 돔, 드랑비, 산토리 라임",,런던 탑 주얼 하우스의 보석의 눈부심을 표현한 칵테일.,1,,
실버 주빌리,부드러운맛,중간 맛,26,#999286,gin,"드라이 진, 크림 드 바나나, 플레시 크림",,진의 쓴맛을 누그러뜨리는 바나나 맛의 크림과 부드러움.,0,,
실버 스트리크,단맛,중간 맛,38,#9b935b,gin,"드라이 진, 예가 마이스터",,미국에서 인기 있는 예가 마이스터를 사용한 칵테일.,0,,
실버 피즈,단맛,중간 맛,12,#b3b5aa,gin,"드라이 진, 레몬 주스, 시럽, 계란 흰자",,단맛을 살린 산뜻한 맛의 칵테일.,1,,
실버 불릿,,중간 맛,30,#a1a5af,gin,"드라이 진, 큔멜, 레몬 주스",,큔멜을 사용한 진귀한 칵테일.,1,,
진 앤드 이트,쓴맛 ,쓴맛,36,#925331,gin,"드라이 진, 스위트 베르무트",,마티니의 원형이라 불리는 심플한 레시피.,0,,
진 앤드 비터스,쓴맛 ,쓴맛,40,#bdbbb9,gin,"드라이 진, 앙고스트라 비터",,달콤함과 신선한 향을 배제한 여름의 더위를 물리치는 데 적당한 쓴맛의 칵테일.,0,,
진 칵테일,,쓴맛,40,#aaa7a3,gin,"드라이 진, 오렌지 비터, 앙고스트라 비터",,희미하게 오렌지 맛이 있는 진의 스트레이트에 가까운 칵테일.,1,,
진 코블러,시원한맛,중간 맛,23,#ede5d8,gin,"드라이 진, 큐라소, 설탕, 소다수",,진의 맛을 끌어낸 여름에 마시는 칵테일.,0,,
진 사워,신맛,중간 맛,24,#ede5d8,gin,"드라이 진, 레몬 주스, 설탕 시럽",,신맛이 나는 대중적인 칵테일.,1,,
진 슬링,시원한맛,중간 맛,24,#b4b0b6,gin,"드라이 진, 레몬 주스, 설탕 시럽",,"투명감이 시원한, 한여름에 어울리는 드링크.",1,,
진 데이지,,중간 맛,22,#cfad85,gin,"드라이 진, 레몬 주스, 그레나덴 시럽",,분홍색의 많은 여성이 즐겨 마시는 칵테일.,1,,
진 토닉,상쾌한맛,중간 맛,14,#857faa,gin,"드라이 진, 토닉 워터",,목으로 넘어갈 때 상쾌한 롱 드링크의 넘버 원.,0,,
진 벅,가벼운맛,중간 맛,9,#b0a399,gin,"드라이 진, 레몬 주스, 진저 에일",,소프트 드링크처럼 맛볼 수 있는 간단함.,1,,
진 피즈,,중간 맛,14,#8e8aad,gin,"드라이 진, 레몬 주스, 설탕, 소다수",,예부터 친숙해진 인기 드링크의 하나.,1,,
진 앤드 라임,,중간 맛,30,#b3ada1,gin,"드라이 진, 코디얼 라임 주스",,간단한 레시피로 손쉽게 만들 수 있는 가장 일반적인 드링크.,1,,
싱가포르 슬링,,중간 맛,17,#9c7855,gin,"드라이 진, 레몬 주스, 설탕, 체리 브랜디, 소다수",,싱가포르의 환상적인 남국의 칵테일.,1,,
스타더스트 리뷰,쓴맛 ,쓴맛,40,#3175b6,gin,"봄베이 사파이어 진, 블루 큐라소, 파르페 타무르, 코디얼 라임 주스",,짜릿한 진의 맛을 훌륭하게 연출한다.,1,,
스카이 크루즈,"섬세한맛, 시원한맛",중간 맛,35,#9593a9,gin,"텅카레 드라이 진, 아나나스 파인애플 리큐르, 코디얼 라임 주스, 블루 큐라소",,섬세하고 시원한 맛의 아름다운 칵테일.,1,,
스프링 오페라,,중간 맛,30,#b29700,gin,"비피더 진, 산토리 리큐르 자보네, 루제 크림 드 베세, 산토리 칵테일 레몬, 산페스터 오렌지 100",,계절감과 정서를 표현한 아름다운 색의 칵테일.,1,,
스프링 버드,산뜻한맛,중간 맛,31,#947a72,gin,"드라이 진, 벚꽃 리큐르(루메즈 샐러드)",,봄날의 나뭇잎 사이로 비치는 햇살 아래서 마시고 싶은 산뜻한 맛의 드링크.,0,,
세븐스 헤븐 No 1,"단맛, 떫은맛",중간 맛,35,#69382e,gin,"드라이 진, 듀보네, 마라스키노, 앙고스트라 비터",,"""7번째 천국""의 맛은 듀보네의 맛으로 정한다.",0,,
세븐스 헤븐 No 2,"신맛, 단맛",중간 맛,35,#c4b9a4,gin,"드라이 진, 그레이프 프루트 주스, 마라스키노",,과일 맛의 아메리카판 칵테일이라고 한다.,1,,
더비,상쾌한맛,중간 맛,24,#fcf4e8,gin,"드라이 진, 비치 브랜디, 민트의 어린 싹",,으깨어서 민트의 향이 한층 두드러진다.,0,,
다이너스티,,중간 맛,24,#bfa000,gin,"비피터 진, 스퀘어 마스컷, 드랑브이, 상페스타 그레이 프루트 100",,왕조라고 이름붙인 칵테일은 영국을 연상한다.,1,,
탕카레 임페리얼,쓴맛,중간 맛,27,#e0b500,gin,"탕카레 드라이 진, 그랑 마니에, 코디알 라임 주스, 모에 에 샨돈 블릿 임페리얼",,샴페인의 맛을 보다 드라이하게 함 칵테일.,1,,
탕카레 퀸,감칠맛,중간 맛,30,#dfb22a,gin,"탕카레 드라이 진, 그랑 마니에 골든 루주, 설탕 시럽",,감칠맛이 좋지만 알코올 도수는 높다.,0,,
탕카레 필드,"신맛, 단맛",중간 맛,24,#b7ae0e,gin,"턍캬레 드라이 진, 멜론 리큐르, 플레시 그레이프 프루트 주스",,한일 공동 주최인 월드컵이 기념 글라스 안에 필드가 보인다.,1,,
탕카레 포레스트,쓴맛,중간 맛,16,#c7a400,gin,"탕카레 드라이 진, 멜론 리큐르, 플레시 그레이프 프루트 주스, 플레스 레몬 주스, 앙고스트라 비터",,숲을 연상한 심오한 중간 맛의 칵테일.,1,,
탱고,"부드러운맛, 단맛",단맛,26,#a86802,gin,"드라이 진, 스위트 베르무트, 오렌지 큐라소, 오렌지 주스",,부드럽고 단맛으로 여성에게 인기가 좋은 칵테일.,1,,
D.O.M 칵테일,,중간 맛,33,#bd8b00,gin,"드라이 진, 베네딕틴 DOM, 오렌지 주스",,신성한 약주를 첨가한 과일 향의 맛.,1,,
테이크 파이브,,중간 맛,16,#7c2004,gin,"드라이 진, 코디알 라임 주스, 베리 리큐르, 그랑베리 주스, 샴페인",,진과 샴페인을 주로 한 식전주.,1,,
텍사스 피즈,상쾌한맛,중간 맛,14,#d8b12d,gin,"드라이 진, 오렌지 주스, 설탕 시럽, 소다수",,상쾌한 오렌지 맛의 진 피즈.,1,,
듀 바리,쓴맛 ,쓴맛,32,#7c5b30,gin,"드라이 진, 드라이 베르무트, 베르무트, 앙고스트라 비터",,페르노 향의 상쾌한 맛.,0,,
듀보네,풍부한맛,중간 맛,27,#6c5549,gin,"드라이 진, 듀보네",,진과 듀보네만의 간단한 재료이면서 맛은 풍부하다.,0,,
톰 콜린스,상큼한맛,중간 맛,16,#7f7a98,gin,"올드 톰 진, 레몬 주스, 설탕 시럽, 소다수",,상큼하고 마시기 편해서 누구라도 즐길 수 있는 드링크.,1,,
드라카르,가벼운맛,중간 맛,25,#9d765f,gin,"드라이 진(탕카레), 프랑부아즈 리큐르, 레몬 주스, 계란 흰자",,"이름은 ""용""이지만 마시기 편해서 여성에게 권장.",1,,
네그로니,"쓴맛, 단맛",중간 맛,25,#71110a,gin,"드라이 진, 캄파리, 스위트 베르무트",,캄파리의 쌉쌀함과 달콤함이 진의 날카로움을 중화시킨다.,0,,
독아웃,쓴맛,쓴맛,30,#67645b,gin,"드라이 진, 드라이 베르무트, 페르노, 페퍼민트 화이트",,쓰러지지 않도록 주의. 매력 있는 배합이 이성을 빼앗는다.,0,,
바텐더,쓴맛,쓴맛,22,#633414,gin,"드라이 진, 체리, 드라이 베르무트, 듀보네, 그랑 마니에",,개성이 강한 것끼리 믹스한 프리 디너 칵테일.,0,,
퍼펙트 마티니,쓴맛,중간 맛,35,#66450a,gin,"드라이 진, 드라이 베르무트, 스위트 베르무트",,베르무트의 맛을 확실하게 맛볼 수 있는 약간 쓴맛의 칵테일.,0,,
하이드 파크,,중간 맛,21,#6d6600,gin,"탕카레 드라이 진, 페르메스 그린티 리큐르, 플레시 그레이프 프루트 주스, 플레시 레몬 주스",,런던 중심부의 녹음이 울창한 공원 하이드 파크를 연상하게 한다.,1,,
파시모 레이디,성숙한맛,중간 맛,31,#b34420,gin,"드라이 진, 패션 프루트 리큐르(파시모), 화이트 큐라소, 플레시 라임 주스",,성숙된 여성의 분위기를 즐길 수 있는 레이디 칵테일.,1,,
버뮤다 로즈,단맛,중간 맛,35,#994e1b,gin,"드라이 진, 아프리콧 브랜디, 그레나덴 시럽",,아프리콧의 단맛 뒤에 짜릿한 잔의 맛.,0,,
파라다이스,"신맛, 단맛",중간 맛,25,#b68500,gin,"드라이 진, 아프리콧 브랜디, 오렌지 주스",,"""낙원""처럼 아름다운 색채로 새콤달콤한 깊은 맛의 칵테일.",1,,
파리지앵,,중간 맛,24,#5d3b2f,gin,"드라이 진, 드라이 베르무트, 크림 드 카시스",,멋쟁이 파리 남자를 연상한 칵테일.,0,,
하와이언,"신맛, 단맛",중간 맛,25,#cfa100,gin,"드라이 진, 오렌지 큐라소, 오렌지 주스, 파인애플 주스",,한여름의 과일을 충분히 사용한 칵테일.,1,,
피카딜리 나이트,,중간 맛,9,#a9110c,gin,"비피터 진, 루제 크림 드 스트로베리, 산페스타 그레이프 프루트 100, 디사론노 아마렛토",,코럴 스타일의 데코레이션이 아름답다.,0,,
피카딜리 파크,산뜻한맛,중간 맛,32,#6c7f02,gin,"탕카레 드라이 진, 베네딕틴 DOM, 플레시 레몬 주스, 블루 큐라소",,"탕카레의 특성을 살린, 술맛이 산뜻한 칵테일.",1,,
핑크 진,쓴맛 ,쓴맛,41,#d0bb9d,gin,"드라이 진, 앙고스트라 비터",,진의 레이버를 그대로 맛보는 칵테일.,0,,
핑크 레이디,부드러운맛,중간 맛,20,#b1530a,gin,"드라이 진, 그레나덴 시럽, 레몬 주스, 계란 흰자",,"아름다운 핑크와 흰 거품, 드라마의 주인공이 된 기분으로.",1,,
판타지수타,단맛,단맛,20,#b58100,gin,"비피타 진, 디사론노 아마렛토, 요구르트 리큐르, 크림 드 쿄호우, 산페스타 오렌지 100",,약간의 크림으로 달콤한 롱 드링크.,1,,
피닉스 진 슬링,"신맛, 단맛",중간 맛,29,#7d4008,gin,"드라이 진, 체리 브랜드, 레몬 주스, 설탕 시럽",,체리 향을 즐기는 롱 드링크.,1,,
포른 엔젤,쓴맛 ,쓴맛,31,#ba9f75,gin,"드라이 진, 레몬 주스, 크림 드 민트 화이트, 앙고스트라 비터",,이 칵테일의 매력에는 천사도 대적할 수 없을 정도.,1,,
블러드 하운드,감칠맛,중간 맛,9,#a12c1b,gin,"드라이 진, 드라이 베르무트, 스위트 베르무트, 딸기, 크래시드 아이스",,딸기 맛이 퍼져서 감칠맛이 좋다.,1,,
브리티시 마치,단맛,단맛,9,#8a1805,gin,"비피터 진, 디시론노 아마렛토, 산토리 그레나덴 시럽, 산토리 칵테일 레몬",,마시기 쉬운 단맛의 상쾌한 칵테일.,1,,
프린스턴,"부드러운맛, 감칠맛",중간 맛,31,#c51a0d,gin,"드라이 진, 포트 와인, 앙고소트라 비터",,부드러운 감칠맛의 아페리티브(식전주).,0,,
프린세스 메리,단맛,단맛,21,#979299,gin,"드라이 진, 크림 드 카카오, 생크림",,카카오와 크림의 단맛으로 식후에 마시는 대표적인 칵테일.,0,,
블루 문,단맛,중간 맛,23,#505093,gin,"드라이 진, 크림 드 바이올렛, 레몬 주스",,연한 보라색의 아름다운 색과 낭만적인 이름.,1,,
불독 하이볼,상쾌한맛,중간 맛,12,#ae7d00,gin,"드라이 진, 오렌지 주스, 진저 에일",,신선한 오렌지가 터지는 듯한 상쾌함.,1,,
프레셔스 하트,단맛,단맛,29,#a66300,gin,"비피터 드라이 진, 파소, 크림 드 페세, 그레이프 프루트 주스",,항상 사랑을 하고 싶은 마음을 지닌 여성의 칵테일.,1,,
프렌치75,감칠맛,중간 맛,18,#a19caa,gin,"드라이 진, 레몬 주스, 설탕, 샴페인(스파클링 와인)",,샴페인의 자잘한 거품이 감칠맛 나게 한다.,1,,
플로리다,상큼한맛,중간 맛,8,#be8700,gin,"드라이 진, 오렌지 주스, 키르슈바서, 화이트 큐라소, 레몬 주스",,플로리다 오렌지를 생각하게 하는 신선한 완성품.,1,,
브롱크스,단맛,단맛,25,#c08500,gin,"드라이 진, 드라이 베르무트, 스위트 베르무트, 오렌지 주스",,단맛을 억제한 상쾌한 칵테일로 예부터 계속 마셔온 식전주.,1,,
버몬트,부드러운맛,중간 맛,8,#877471,gin,"드라이 진, 생크림, 그레나덴 시럽",,플레시 크림이 매끄러워 혀에 닿는 감촉이 좋은 드링크.,0,,
호놀룰루,"신맛, 단맛",중간 맛,35,#b38700,gin,"드라이 진, 오렌지 주스, 파인애플 주스, 레몬 주스, 앙고스트라 비터, 설탕 시럽",,남국의 향취가 풍부한 맛으로 과일 가득한 이미지.,1,,
호프만 하우스 피즈,상큼한맛,중간 맛,12,#b3bed4,gin,"드라이 진, 레몬 주스, 설탕 시럽, 생크림, 오렌지 주스, 마라스키노",,아이보리 화이트의 상큼한 맛.,1,,
화이트 레이디,청량한맛,중간 맛,29,#abb7ca,gin,"드라이 진, 화이트 큐라소, 레몬 주스",,청순한 이미지와 청량감으로 여성 팬이 많다.,1,,
화이트 로즈,"단맛, 부드러운맛",단맛,20,#a98b31,gin,"드라이 진, 마라스키노, 오렌지 주스, 레몬 주스, 계란 흰자",,감귤계의 상큼한 향을 가진 계란 흰자 거품이 부드럽게 감싼다.,1,,
마운트 후지,"신맛, 부드러운맛",중간 맛,19,#969ab7,gin,"드라이 진, 마라스키노, 레몬 주스, 파인애플 주스, 플레스 크림, 설탕 시럽, 계란 흰자",,일본 호텔 초기의 오리지널 칵테일.,1,,
마그놀리아 블로섬,,중간 맛,20,#9b9096,gin,"드라이 진, 레몬 주스, 플레시 크림, 그레나덴 시럽",,마그놀리아 꽃이 피는 아름다운 칵테일.,1,,
마티니,쓴맛 ,쓴맛,35,#7272ae,gin,"드라이 진, 드라이 베르무트",,"변하지 않는 인기 NO.1, 킹 오브 칵테일.",0,,
미스티,,중간 맛,30,#9c705c,gin,"드라이 진, 아이리시 미스트, 드라이 베르무트",,재즈의 명곡 미스티에서 딴 이름.,0,,
미스터리 서클,,중간 맛,24,#c69f22,gin,"탕카레 드라이 진, 그랑 마니에 골든 루주, 플레시 레몬 주스, 플레시 파인애플 주스, 꿀",,칵테일 글라스 속의 미스터리.,1,,
밀리언 달러,,중간 맛,18,#a65600,gin,"드라이 진, 스위트 베르무트, 파인애플 주스, 그레나덴 시럽, 계란 흰자",,백만 달러의 칵테일을 마셔서 부자가 된 기분을 누릴 것이다.,1,,
밀키 웨이,단맛,단맛,8,#a74d07,gin,"드라이 진, 디사론노 아마렛토, 스트로베리 리큐르, 스트로베리 시럽, 플레시 파인 주스",,세계를 납득시킨 맛과 데코레이션.,1,,
밀비,부드러운맛,중간 맛,27,#887875,gin,"드라이 진, 크림 드 바나누, 상 라파엘, 플레시 크림",,아페리티프 와인을 첨가한 마시기 쉬운 칵테일.,0,,
문 리버,단맛,단맛,24,#9e7800,gin,"드라이 진, 아프리콧 브랜디, 코인트로, 갈리아노, 레몬 주스",,아프리콧의 심오한 단맛의 향과 오렌지 향이 가득한 맛.,1,,
메리 위도,,중간 맛,24,#46210e,gin,"드라이 진, 듀보네, 오렌지 비터",,진홍의 투명감이 마음에 활기를 주는 칵테일.,1,,
멜론 스페셜,단맛,중간 맛,24,#bcb300,gin,"비피터 드라이 진, 멜론 리큐르, 라임 주스, 오렌지 비터",,달콤하게 녹는 멜론 칵테일.,1,,
요코하마,,중간 맛,18,#a65820,gin,"드라이 진, 보드카, 오렌지 주스, 그레나덴 시럽, 페르노",,붉은색은 요코하마 항의 붉은 구두를 연상.,1,,
라무스 진 피즈,,중간 맛,12,#d4d9df,gin,"드라이 진, 레몬 주스, 설탕 시럽, 페르노, 계란 흰자, 소다수",,숙취 해소나 혈액 순환 촉진 등 약용 효과가 높은 칵테일.,1,,
리틀 위치,상큼한맛,중간 맛,23,#ba9d00,gin,"탕카레 드라이 진, 모난 재스민 시럽, 플레시 파인애플 주스, 그랑 마니에 골든 루주",,재스민과 민트의 향으로 상큼함을.,0,,
러시안,단맛,중간 맛,33,#7c2b17,gin,"드라이 진, 보드카, 화이트 카카오",,달콤한 단맛으로 유혹하는 레이디 킬러의 칵테일.,0,,
레드 스파클,,중간 맛,10,#b25d02,gin,"비피터 진, 캄파리, 루제 크림 드 카시스, 서던 컴포트, 산토리 칵테일 레몬, 산토리 토닉 워터",,눈부시고 열정적인 추억을 글라스 가득 표현.,1,,
레드 라이온,,중간 맛,22,#a58000,gin,"드라이 진, 그랑 마니에, 오렌지 주스, 레몬 주스",,이름은 레드인데 선명한 노란색의 라이온 색이다.,1,,
레이디 80,단맛,단맛,26,#b54400,gin,"드라이 진, 아프리콧 브랜디, 파인애플 주스, 그레나덴 시럽",,우아한 여성을 위한 단맛의 칵테일.,1,,
로열 스마일,쓴맛 ,쓴맛,34,#9b5706,gin,"드라이 진, 칼바도스, 그레나덴 시럽, 레몬 주스",,이 쓴 칵테일을 마시면 왕실의 미소를 지을 수 있을까?,1,,
로열 피즈,상큼한맛,중간 맛,12,#a58200,gin,"드라이 진, 레몬 주스, 설탕 시럽, 계란, 소다수",,미세하게 거품이 생겨서 삼킬 때 상큼한 드링크.,1,,
로열 로망스,상큼한맛,중간 맛,30,#955501,gin,"드라이 진, 그랑 마니에, 패션 프루트 주스, 그레나덴 시럽",,트로피컬 프루트의 정열적인 맛.,1,,
로드스터,,중간 맛,27,#b18900,gin,"드라이 진, 그랑 마니에, 오렌지 주스",,많이 마실 수 있을 것 같은 오렌지 주스풍 칵테일.,1,,
롱 아일랜드 아이스티,,중간 맛,15,#90662d,gin,"드라이 진, 보드카, 화이트 럼, 테킬라, 화이트 큐라소, 레몬 주스, 콜라",,"홍차를 사용하지 않고, 아이스 티의 색과 맛을 낸다.",1,,
런던 아이,상쾌한맛,중간 맛,23,#b46200,gin,"비피터 진, 루제 크림 드 블루베리, 루제 크림 드 베세, 산페스터 그레이프 프루트 100, 산토리 그레나덴 시럽",,입안에 퍼지는 상쾌한 맛.,1,,
런던의 마녀,,중간 맛,23,#d0a500,gin,"비피터 드라이 진, 루제 크림 드 프랑부아즈, 스톤스 진저 와인, 산토리 칵테일 레몬, 산토리 그레나덴 시럽",,런던의 밤하늘을 나는 마녀를 연상.,1,,
아쿠덕트,감칠맛,중간 맛,26,#c09300,vodka,"보드카, 큐라소, 아프리콧 브랜디, 라임 주스",,살구 향이 나는 감칠맛이 나는 칵테일.,1,,
아프레 스키,시원한맛,중간 맛,26,#71901b,vodka,"보드카, 크림 드 민트 그린, 페르노, 소다수",,페르노의 얌전한 맛. 민트의 시원한 칵테일.,0,,
안젤로,상쾌한맛,중간 맛,12,#b79116,vodka,"보드카, 갈리아노, 서던 컴포트, 오렌지 주스, 파인애플 주스",,과일 주스와 같은 감칠맛이 나는 상쾌한 맛.,1,,
앰파이넨,단맛,중간 맛,28,#b8903d,vodka,"보드카, 크림 드 바나누, 진저 에일",,입안에 바나나의 맛과 향이 산뜻하고 달콤한 칵테일.,0,,
